ID	Exercise	Muscle Group	Level	U/L/C	P / P	Modality	Joint
0	Full Reverse Crunch	Abdominals - Lower	Advanced	Core	Push	FW	M
1	Incline Hip Thrust	Abdominals - Lower	Advanced	Core	Push	FW	M
2	Incline Reverse Crunch	Abdominals - Lower	Advanced	Core	Push	FW	M
3	Lying Hip Thrust	Abdominals - Lower	Advanced	Core	Push	FW	M
4	Reverse Crunch	Abdominals - Lower	Beginner	Core	Push	FW	M
5	Reverse Medicine Ball Crunch	Abdominals - Lower	Advanced	Core	Push	FW	M
6	Alternating Heel Touch	Abdominals - Obliques	Beginner	Core	Push	FW	M
7	Bent-Knee Medicine Ball Hip Rotation	Abdominals - Obliques	Advanced	Core	Push	FW	M
8	Cable Chop	Abdominals - Obliques	Advanced	Core	Push	C	M
9	Cross Crunch	Abdominals - Obliques	Beginner	Core	Push	FW	M
10	Cross Crunch w/ Medicine Ball	Abdominals - Obliques	Advanced	Core	Push	FW	M
11	Decline Cross Sit-Up	Abdominals - Obliques	Advanced	Core	Push	FW	M
12	Decline Sit-Up w/ Twist	Abdominals - Obliques	Advanced	Core	Push	FW	M
13	Reverse Cable Chop	Abdominals - Obliques	Advanced	Core	Push	C	M
14	Seated Medicine Ball Twist	Abdominals - Obliques	Advanced	Core	Push	FW	M
15	Trunk Rotator	Abdominals - Obliques	Advanced	Core	Push	FW	M
16	Front Plank (from knees)	Abdominals - Total	Beginner	Core	Static	FW	M
17	Front Plank (from toes)	Abdominals - Total	Intermediate	Core	Static	FW	M
18	Front Plank (tripod - 1 arm and 2 legs or 2 legs and 1 arm)	Abdominals - Total	Advanced	Core	Static	FW	M
19	Side-Plank (from knees)	Abdominals - Total	Intermediate	Core	Static	FW	M
20	Side-Plank (hip lift)	Abdominals - Total	Beginner	Core	Static	FW	M
21	Side-Plank (from toes)	Abdominals - Total	Advanced	Core	Static	FW	M
22	Ab Cycle	Abdominals - Total	Advanced	Core	Push	FW	M
23	Kneeling Ab Rollout	Abdominals - Total	Intermediate	Core	Push	FW	M
24	Medicine Ball V-Up	Abdominals - Total	Advanced	Core	Push	FW	M
25	V-Up	Abdominals - Total	Beginner	Core	Push	FW	M
26	Weighted V-Up	Abdominals - Total	Intermediate	Core	Push	FW	M
27	Bent Knee Sit-Up	Abdominals - Upper	Beginner	Core	Push	FW	M
28	Bent-Knee Crunch	Abdominals - Upper	Beginner	Core	Push	FW	M
29	Crunch	Abdominals - Upper	Beginner	Core	Push	FW	M
30	Crunch	Abdominals - Upper	Beginner	Core	Push	FW	M
31	Decline Crunch	Abdominals - Upper	Advanced	Core	Push	FW	M
32	Decline Sit-Up	Abdominals - Upper	Advanced	Core	Push	FW	M
33	Heel Touch	Abdominals - Upper	Beginner	Core	Push	FW	M
34	Sit-Up	Abdominals - Upper	Beginner	Core	Push	FW	M
35	Weighted Crunch	Abdominals - Upper	Intermediate	Core	Push	FW	M
36	Assisted Pull-Up	Back - Latissimus Dorsi	Beginner	Upper	Pull	FW	M
37	Close-Grip Lat Pulldown	Back - Latissimus Dorsi	Beginner	Upper	Pull	M	M
38	Inverted Pull-Up	Back - Latissimus Dorsi	Advanced	Upper	Pull	FW	M
39	Lat Pulldown	Back - Latissimus Dorsi	Beginner	Upper	Pull	C	M
40	Pull-Up	Back - Latissimus Dorsi	Beginner	Upper	Pull	FW	M
41	Reverse-Grip Lat Pullown	Back - Latissimus Dorsi	Intermediate	Upper	Pull	C	M
42	Reverse-Grip Pull-Up	Back - Latissimus Dorsi	Advanced	Upper	Pull	FW	M
43	V-Bar Pull-Up	Back - Latissimus Dorsi	Advanced	Upper	Pull	FW	M
