dt,Head.x,Head.y,Head.z,LeftHand.x,LeftHand.y,LeftHand.z,RightHand.x,RightHand.y,RightHand.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,Waist.x,Waist.y,Waist.z,LeftKnee.x,LeftKnee.y,LeftKnee.z,RightKnee.x,RightKnee.y,RightKnee.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,RightFoot.x,RightFoot.y,RightFoot.z
0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3333333,0,0,0,-0.3391646,1.440304,0.05457127,0.2035372,1.443351,0.1059854,0.142191,1.433115,-0.06609387,0,0,0,-0.2546338,1.412133,-0.03346343,-0.1919193,0.477373,-0.03292131,0,0,0,-0.2480245,0.05011833,-0.03540178,0.1326812,0.04579532,0.02246419
0.0624846,0,0,0,-0.3408741,1.440818,0.05603239,0.2052923,1.44534,0.09632821,0.1413844,1.43091,-0.07371893,0,0,0,-0.2534198,1.410651,-0.03316212,-0.1921123,0.4762601,-0.02979098,0.04388982,0.4947921,0.02073728,-0.247969,0.04995668,-0.03531297,0.1326554,0.04562473,0.02253422
0.0195892,0,0,0,-0.3407302,1.44088,0.05494767,0.2051042,1.43758,0.1036834,0.1423492,1.431533,-0.07295159,0,0,0,-0.2537227,1.411535,-0.03401854,-0.1921782,0.4763134,-0.02996543,0.04384124,0.4947211,0.02105023,-0.2479724,0.04979515,-0.03532431,0.1325762,0.04584289,0.02251086
0.0046111,0,0,0,-0.34057,1.441062,0.05475285,0.2072101,1.43732,0.102377,0.1424932,1.431602,-0.07288127,0,0,0,-0.2531659,1.41111,-0.03408711,-0.1922236,0.4763118,-0.02995292,0.04383439,0.4946955,0.02107243,-0.2478955,0.04967463,-0.03532398,0.1326559,0.04582095,0.02251668
0.0036505,0,0,0,-0.3405214,1.441155,0.05436182,0.2062446,1.437498,0.1024372,0.1410308,1.430633,-0.07412573,0,0,0,-0.2532657,1.411039,-0.0341101,-0.1922563,0.476306,-0.02994943,0.0438084,0.4947203,0.02108538,-0.2478972,0.04966235,-0.03532583,0.1326619,0.04576349,0.02257334
0.0111279,0,0,0,-0.3406512,1.441113,0.05384216,0.2065547,1.437918,0.1020436,0.1411926,1.430682,-0.07408179,0,0,0,-0.2533129,1.411017,-0.03415365,-0.1923261,0.4762883,-0.02992691,0.04387397,0.494819,0.02117859,-0.2479133,0.04962325,-0.03527716,0.132637,0.0457058,0.02256815
0.0336234,0,0,0,-0.3408598,1.441111,0.05353624,0.2066417,1.43875,0.1015568,0.1400815,1.429304,-0.07447746,0,0,0,-0.2533481,1.410159,-0.03395098,-0.1920061,0.4761485,-0.02999121,0.0440411,0.4946656,0.02135729,-0.2477977,0.04944873,-0.03531549,0.1326292,0.04552031,0.02257665
0.3099815,0,0,0,-0.345018,1.436008,0.05675768,0.2018006,1.434488,0.1129292,0.1391292,1.430069,-0.06727815,0,0,0,-0.2545016,1.409274,-0.03154124,-0.1972898,0.4794666,-0.0100612,0.04616463,0.5015008,0.03962643,-0.2475405,0.0500499,-0.03517011,0.1335017,0.04598057,0.02176655
0.0165192,0,0,0,-0.3453822,1.435435,0.05778914,0.2018449,1.433939,0.1134469,0.1391338,1.429964,-0.06591282,0,0,0,-0.2545207,1.409117,-0.03080574,-0.1989909,0.479347,-0.006518334,0.04708391,0.502059,0.04442343,-0.2475356,0.05006146,-0.03510146,0.133395,0.04587519,0.02192106
0.0068244,0,0,0,-0.3457548,1.434923,0.05863206,0.203162,1.432649,0.1148844,0.1396076,1.431358,-0.06457325,0,0,0,-0.254643,1.408553,-0.02972315,-0.2005808,0.479107,-0.003049888,0.04845589,0.50231,0.04860025,-0.2474636,0.05001438,-0.0350582,0.133504,0.04597723,0.02182123
0.0036582,0,0,0,-0.3461533,1.434142,0.05968385,0.2030279,1.431804,0.1162661,0.1396018,1.431275,-0.06401393,0,0,0,-0.2547074,1.40845,-0.02961561,-0.2013153,0.4790363,-0.001513928,0.04902011,0.5023524,0.05061123,-0.2474448,0.05001891,-0.03504711,0.133575,0.046,0.02178995
0.0077948,0,0,0,-0.3465912,1.433175,0.06076312,0.203319,1.431868,0.1164396,0.1386691,1.429395,-0.06437261,0,0,0,-0.2547857,1.407973,-0.02887322,-0.2027572,0.4787531,0.0009543523,0.04984528,0.5020245,0.05391937,-0.2473482,0.05009043,-0.03500022,0.1336693,0.04594576,0.02174415
0.0098846,0,0,0,-0.3468527,1.431996,0.06182036,0.2032667,1.430506,0.1177505,0.137829,1.429491,-0.06341996,0,0,0,-0.2548876,1.407147,-0.02776973,-0.2045455,0.4785719,0.004624292,0.05095536,0.5022877,0.05831806,-0.2472998,0.05014169,-0.03490697,0.1338254,0.0460006,0.02167808
0.0109958,0,0,0,-0.3471422,1.430493,0.06295623,0.2036112,1.429124,0.1193228,0.1377123,1.429031,-0.06219583,0,0,0,-0.2550803,1.40568,-0.02639703,-0.2063476,0.4791548,0.008430611,0.0532698,0.5018753,0.06413551,-0.2472913,0.05017555,-0.03489894,0.1344003,0.04611051,0.02131996
0.0110819,0,0,0,-0.3473779,1.428416,0.06408978,0.2033277,1.426678,0.1214145,0.1367351,1.42802,-0.06032266,0,0,0,-0.2550833,1.404613,-0.02545375,-0.2090042,0.4786162,0.01346131,0.05513781,0.5019486,0.06951886,-0.2472098,0.05014765,-0.0347508,0.1347331,0.04601443,0.02133885
