Head.x,Head.y,Head.z,LeftHand.x,LeftHand.y,LeftHand.z,RightHand.x,RightHand.y,RightHand.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,Waist.x,Waist.y,Waist.z,LeftKnee.x,LeftKnee.y,LeftKnee.z,RightKnee.x,RightKnee.y,RightKnee.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,RightFoot.x,RightFoot.y,RightFoot.z
0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3333333,0,0,0,-0.2680923,1.420468,0.09491142,0.1534298,1.380904,0.2175163,0,0,0,0,0,0,-0.1955925,1.409773,-0.04223689,-0.1914442,0.5298947,-0.004759386,0.04953825,0.4882381,0.05332376,0,0,0,0.1359349,0.04683518,0.04910348
0.0697709,0,0,0,-0.3311528,1.395309,0.1320303,0.07966405,1.37925,0.1999424,0.1291978,1.426473,0.00228259,0,0,0,-0.2676759,1.391326,-0.02319879,-0.2059806,0.5168135,-0.002053723,0.04032093,0.492386,0.05452718,-0.2685803,0.05079472,-0.01333727,0.1366734,0.05029774,0.03651251
0.0122205,0,0,0,-0.3283952,1.395232,0.1339431,0.08373958,1.379409,0.20042,0.1379302,1.425362,-0.0004143044,0,0,0,-0.2612072,1.390718,-0.02098451,-0.2035027,0.51652,-0.002917774,0.04100382,0.4905688,0.05241123,-0.268911,0.05066919,-0.01347246,0.1382696,0.04897296,0.0372848
0.010257,0,0,0,-0.323657,1.395024,0.1362934,0.08902377,1.378664,0.2016403,0.1423519,1.426247,0.003327608,0,0,0,-0.2577803,1.390541,-0.02013142,-0.2024729,0.5162249,-0.003459357,0.04176646,0.4895586,0.05176314,-0.2690983,0.05065596,-0.01342637,0.1381778,0.04805517,0.03732264
0.0458497,0,0,0,-0.3117758,1.395217,0.1391567,0.100621,1.376316,0.2058838,0.1524045,1.425708,0.008206531,0,0,0,-0.2427803,1.390802,-0.01683302,-0.2005926,0.5172734,-0.004694313,0.04855108,0.4878097,0.04999646,-0.2696207,0.05060101,-0.01348303,0.1401389,0.04637146,0.03538249
0.3084383,0,0,0,-0.2797301,1.403104,0.1554695,0.1552268,1.377669,0.2057355,0.178843,1.416621,-0.008650564,0,0,0,-0.213755,1.397875,-0.004786901,-0.2038566,0.5210621,0.01576447,0.06273627,0.4868143,0.05396273,-0.2894893,0.05447936,-0.01523967,0.1410025,0.04490173,0.03706671
0.0162964,0,0,0,-0.2825503,1.404684,0.1546804,0.1553666,1.379146,0.202662,0.1735241,1.414559,-0.01251353,0,0,0,-0.2164106,1.398151,-0.004399672,-0.2035127,0.5205137,0.0158954,0.06173253,0.4866959,0.05303249,-0.2890323,0.05386412,-0.01406051,0.1411489,0.04480135,0.03699791
0.0151089,0,0,0,-0.2844878,1.405622,0.1543912,0.1549721,1.379843,0.201118,0.1695099,1.41405,-0.01717927,0,0,0,-0.2209433,1.398229,-0.004405655,-0.2023436,0.5188529,0.01631204,0.06035572,0.4866161,0.05214005,-0.2884559,0.05328977,-0.01356133,0.1413136,0.04477596,0.03704967
0.0081305,0,0,0,-0.2861054,1.405901,0.1544601,0.1542749,1.380209,0.1993007,0.1671813,1.414131,-0.01932962,0,0,0,-0.2229783,1.39816,-0.004198253,-0.2013564,0.51837,0.01649125,0.06044805,0.4878399,0.05222716,-0.2883402,0.05316138,-0.01408161,0.1413494,0.04479074,0.03712373
0.004174,0,0,0,-0.2879665,1.406556,0.1544133,0.1540771,1.38128,0.1974104,0.1660445,1.414158,-0.02034497,0,0,0,-0.2241305,1.398133,-0.004193477,-0.201031,0.5179995,0.01650101,0.06016123,0.4879119,0.05211594,-0.2882947,0.05304384,-0.0140716,0.1413621,0.04478347,0.03713743
0.0107171,0,0,0,-0.2905508,1.407168,0.1544259,0.153541,1.381885,0.1955728,0.1599967,1.414391,-0.02442408,0,0,0,-0.2262482,1.397605,-0.004281081,-0.2003016,0.5174147,0.01687019,0.05943191,0.4881736,0.05213601,-0.2885745,0.05274248,-0.01463967,0.1415913,0.04477036,0.03703166
0.0112032,0,0,0,-0.2926351,1.40772,0.1544338,0.1522649,1.382371,0.1933976,0.1567979,1.414501,-0.02712484,0,0,0,-0.2292841,1.397499,-0.004225016,-0.2000009,0.5165306,0.01678278,0.05863279,0.4884065,0.05240165,-0.2888317,0.05249572,-0.01504718,0.1417684,0.04497302,0.03702035
0.0109421,0,0,0,-0.2952169,1.408041,0.1542657,0.1510819,1.382425,0.1908561,0.1540022,1.415276,-0.02967534,0,0,0,-0.2324559,1.39722,-0.004301839,-0.2001378,0.5159554,0.01655203,0.05807638,0.4884784,0.05267891,-0.2882495,0.05231607,-0.01485568,0.1425782,0.04603827,0.03729475
0.0110541,0,0,0,-0.2973726,1.40826,0.1547481,0.1495875,1.382918,0.1883776,0.1507884,1.41544,-0.03229974,0,0,0,-0.2356151,1.397175,-0.004132919,-0.2011108,0.5159311,0.01608472,0.05744708,0.4892598,0.05325625,-0.2878947,0.05197001,-0.01437123,0.14305,0.04609895,0.03756611
0.011155,0,0,0,-0.2997207,1.408573,0.15484,0.1486705,1.383835,0.1863522,0.1460328,1.414545,-0.03606479,0,0,0,-0.2384588,1.396802,-0.003992118,-0.2016067,0.515964,0.01557891,0.05674905,0.4905514,0.05409504,-0.2877421,0.05211508,-0.01438161,0.143859,0.0464859,0.03786186
